-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  -26.825   Longitude -66.23 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2588.51 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,4.68,73.6,74.93,10.97,12.52
2020,1,1,1,4.24,68.1,74.9,10.84,12.15
2020,1,1,2,3.82,60.7,74.86,10.71,11.87
2020,1,1,3,3.68,57.8,74.83,10.52,11.57
2020,1,1,4,3.33,59.5,74.85,10.27,11.26
2020,1,1,5,2.54,61.8,74.92,10.05,11.17
2020,1,1,6,2.34,45.9,74.99,9.85,12.86
2020,1,1,7,2.68,25.2,75.03,9.04,14.51
2020,1,1,8,2.31,24.6,75.03,8.21,16.64
2020,1,1,9,1.68,55.6,75.02,7.67,18.99
2020,1,1,10,2.02,92.6,74.99,7.51,21.27
2020,1,1,11,2.74,103.3,74.94,7.58,22.81
2020,1,1,12,3.57,104.1,74.88,7.79,23.48
2020,1,1,13,4.32,104.1,74.82,8.1,23.47
2020,1,1,14,4.98,101.5,74.77,8.43,23.03
2020,1,1,15,5.39,96.3,74.72,8.74,22.13
2020,1,1,16,5.57,92.4,74.7,9.06,20.86
2020,1,1,17,5.41,92.1,74.72,9.38,19.49
2020,1,1,18,5.13,93.9,74.77,9.93,17.69
2020,1,1,19,4.91,92.8,74.84,11.09,15.31
2020,1,1,20,4.89,91.2,74.91,11.06,14.13
2020,1,1,21,4.56,90.9,74.98,11.0,13.64
2020,1,1,22,4.08,89.3,75.02,10.98,13.11
2020,1,1,23,3.67,81.7,75.03,10.86,12.49
2020,1,2,0,3.05,66.4,75.0,10.83,12.13
2020,1,2,1,2.73,52.0,74.95,10.68,11.74
2020,1,2,2,2.36,38.1,74.9,10.36,11.19
2020,1,2,3,2.13,18.6,74.87,10.08,10.74
2020,1,2,4,2.06,356.7,74.89,9.81,10.29
2020,1,2,5,2.22,346.2,74.93,9.67,10.03
2020,1,2,6,2.14,342.3,74.96,9.88,11.97
2020,1,2,7,0.82,320.9,74.99,9.6,14.66
2020,1,2,8,1.42,161.9,75.0,8.9,17.79
2020,1,2,9,2.56,142.8,74.99,8.53,20.23
2020,1,2,10,3.3,132.3,74.96,8.57,22.06
2020,1,2,11,3.89,124.6,74.92,8.74,23.22
2020,1,2,12,4.36,119.2,74.88,8.9,23.64
2020,1,2,13,4.89,116.6,74.84,9.05,23.52
2020,1,2,14,5.37,115.1,74.8,9.18,23.01
2020,1,2,15,5.7,111.0,74.79,9.26,22.12
2020,1,2,16,5.82,103.7,74.79,9.4,21.13
2020,1,2,17,5.71,98.7,74.8,9.55,19.88
2020,1,2,18,5.31,98.5,74.85,9.77,17.99
2020,1,2,19,4.77,99.9,74.92,10.62,15.38
2020,1,2,20,4.37,96.7,74.97,10.79,14.46
2020,1,2,21,3.93,91.6,75.02,10.83,13.82
2020,1,2,22,3.42,89.5,75.05,10.82,13.19
2020,1,2,23,2.95,90.2,75.05,10.76,12.67
2020,1,3,0,2.44,92.8,75.05,10.6,12.14
2020,1,3,1,2.05,96.2,75.03,10.48,11.83
2020,1,3,2,1.61,92.8,75.0,10.28,11.45
2020,1,3,3,1.09,79.9,74.99,10.14,11.23
2020,1,3,4,0.5,32.7,75.01,10.08,11.2
2020,1,3,5,0.82,300.6,75.05,10.05,10.92
2020,1,3,6,1.48,260.3,75.1,10.09,11.94
2020,1,3,7,2.18,222.8,75.13,9.83,14.22
2020,1,3,8,2.56,203.3,75.14,9.42,17.0
2020,1,3,9,2.8,186.2,75.12,8.98,19.69
2020,1,3,10,3.19,170.6,75.09,8.63,21.78
2020,1,3,11,3.8,158.4,75.05,8.5,23.11
2020,1,3,12,4.44,148.4,75.01,8.5,23.82
2020,1,3,13,4.97,142.0,74.97,8.49,24.02
2020,1,3,14,5.44,137.7,74.92,8.41,23.67
2020,1,3,15,5.76,133.2,74.88,8.32,23.04
2020,1,3,16,5.73,129.5,74.85,8.29,21.72
2020,1,3,17,5.32,127.1,74.87,8.43,19.92
2020,1,3,18,4.56,120.6,74.9,8.73,17.88
2020,1,3,19,3.48,109.1,74.94,10.02,15.29
2020,1,3,20,2.85,91.2,74.99,10.41,14.17
2020,1,3,21,2.2,80.3,75.04,10.29,13.51
2020,1,3,22,1.36,74.6,75.06,9.8,13.13
2020,1,3,23,0.39,41.9,75.03,9.56,12.87
2020,1,4,0,0.87,288.9,74.98,9.39,12.21
2020,1,4,1,1.58,285.0,74.92,9.31,11.45
2020,1,4,2,2.09,288.1,74.87,9.14,10.75
2020,1,4,3,2.39,292.6,74.84,8.95,10.14
2020,1,4,4,2.56,297.2,74.84,8.73,9.71
2020,1,4,5,2.67,299.9,74.87,8.52,9.41
2020,1,4,6,2.45,289.8,74.9,8.62,12.15
2020,1,4,7,2.74,233.2,74.92,8.51,15.39
2020,1,4,8,3.16,202.7,74.92,8.28,18.2
2020,1,4,9,3.64,182.7,74.92,7.91,20.58
2020,1,4,10,4.17,170.3,74.9,7.73,22.27
2020,1,4,11,4.57,162.6,74.87,7.72,23.39
2020,1,4,12,4.87,156.1,74.83,7.77,24.11
2020,1,4,13,5.19,148.8,74.78,7.86,24.44
2020,1,4,14,5.41,141.2,74.7,7.98,24.34
2020,1,4,15,5.34,134.9,74.62,8.07,23.82
2020,1,4,16,5.13,130.7,74.57,8.17,22.89
2020,1,4,17,4.99,127.1,74.56,8.32,21.43
2020,1,4,18,4.79,116.5,74.59,8.76,19.19
2020,1,4,19,4.33,100.6,74.63,10.13,16.83
