-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  31.03   Longitude 61.49 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 490.59 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,4.58,153.4,95.64,4.15,6.15
2020,1,1,1,3.98,138.7,95.59,4.1,5.8
2020,1,1,2,3.28,103.0,95.57,4.07,5.43
2020,1,1,3,4.14,69.5,95.55,4.07,4.55
2020,1,1,4,6.63,41.6,95.59,4.11,4.15
2020,1,1,5,8.55,34.4,95.65,4.06,4.37
2020,1,1,6,7.86,30.7,95.72,3.89,4.04
2020,1,1,7,6.31,17.7,95.78,3.84,4.77
2020,1,1,8,5.32,0.9,95.85,3.81,6.89
2020,1,1,9,4.82,352.3,95.92,3.66,9.3
2020,1,1,10,4.79,342.1,95.91,3.63,11.44
2020,1,1,11,4.45,336.5,95.84,3.73,13.45
2020,1,1,12,3.64,339.2,95.72,4.01,14.92
2020,1,1,13,2.69,358.1,95.63,4.11,15.85
2020,1,1,14,2.13,34.7,95.56,4.19,16.44
2020,1,1,15,3.35,75.3,95.53,4.45,16.19
2020,1,1,16,5.58,90.7,95.55,4.98,13.11
2020,1,1,17,6.37,100.4,95.6,4.66,11.06
2020,1,1,18,6.33,108.8,95.68,4.53,10.47
2020,1,1,19,5.53,116.7,95.73,4.46,9.95
2020,1,1,20,4.58,124.4,95.77,4.37,9.61
2020,1,1,21,3.83,130.1,95.8,4.25,9.49
2020,1,1,22,3.21,130.2,95.79,4.04,9.39
2020,1,1,23,2.7,118.6,95.75,3.92,9.31
2020,1,2,0,2.75,93.5,95.72,3.82,8.78
2020,1,2,1,3.71,75.6,95.72,3.92,8.03
2020,1,2,2,4.76,68.7,95.72,3.99,7.81
2020,1,2,3,5.11,64.5,95.74,4.05,7.73
2020,1,2,4,4.55,60.8,95.78,4.14,7.55
2020,1,2,5,3.44,49.6,95.87,4.19,7.35
2020,1,2,6,2.84,25.0,95.97,4.18,7.11
2020,1,2,7,3.23,0.4,96.02,4.43,7.39
2020,1,2,8,3.8,344.8,96.07,4.49,9.68
2020,1,2,9,3.24,329.8,96.11,4.58,12.12
2020,1,2,10,2.8,312.4,96.08,5.08,14.45
2020,1,2,11,2.96,304.8,95.98,5.25,16.49
2020,1,2,12,3.02,302.3,95.87,5.26,18.17
2020,1,2,13,3.08,298.3,95.79,5.19,19.68
2020,1,2,14,3.07,296.9,95.76,5.08,20.7
2020,1,2,15,2.3,310.8,95.77,6.15,20.38
2020,1,2,16,1.42,339.8,95.82,5.43,19.04
