-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  31.03   Longitude 62.54 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 573.72 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,9.03,126.8,94.71,3.29,6.21
2020,1,1,1,9.61,133.3,94.63,3.16,6.02
2020,1,1,2,9.15,138.4,94.58,3.04,5.6
2020,1,1,3,8.08,140.9,94.55,2.92,4.89
2020,1,1,4,6.62,135.1,94.58,2.84,4.14
2020,1,1,5,6.33,121.8,94.65,2.78,3.63
2020,1,1,6,7.28,116.4,94.73,2.73,3.41
2020,1,1,7,7.71,117.6,94.78,2.74,5.28
2020,1,1,8,6.45,122.7,94.82,2.79,7.79
2020,1,1,9,5.18,150.7,94.86,3.04,11.09
2020,1,1,10,4.51,184.6,94.84,3.55,14.27
2020,1,1,11,4.43,209.5,94.76,3.93,16.47
2020,1,1,12,4.73,227.9,94.66,4.07,17.56
2020,1,1,13,4.96,241.8,94.59,4.02,17.9
2020,1,1,14,4.92,252.4,94.56,3.88,17.64
2020,1,1,15,4.57,264.1,94.57,3.76,16.71
2020,1,1,16,4.02,284.0,94.63,4.0,13.33
2020,1,1,17,2.8,309.9,94.69,3.53,11.91
2020,1,1,18,1.68,359.7,94.76,3.41,11.71
2020,1,1,19,2.21,57.7,94.79,3.37,11.1
2020,1,1,20,3.44,83.3,94.82,3.35,9.95
2020,1,1,21,4.69,98.8,94.83,3.39,8.68
2020,1,1,22,5.65,111.2,94.81,3.55,7.91
2020,1,1,23,5.82,124.4,94.78,3.96,7.74
2020,1,2,0,5.27,140.1,94.74,4.52,7.55
2020,1,2,1,4.9,155.8,94.75,4.97,7.41
2020,1,2,2,5.15,168.3,94.76,5.26,7.49
2020,1,2,3,5.69,175.7,94.79,5.47,7.55
2020,1,2,4,6.04,177.5,94.82,5.66,7.53
2020,1,2,5,6.2,177.5,94.9,5.83,7.64
2020,1,2,6,6.3,178.2,94.98,6.01,7.76
2020,1,2,7,6.18,180.1,95.01,6.27,9.38
2020,1,2,8,4.99,182.4,95.04,6.52,12.41
2020,1,2,9,4.88,202.8,95.08,6.72,15.46
2020,1,2,10,5.72,223.4,95.04,6.87,17.95
2020,1,2,11,5.8,239.3,94.95,6.73,18.66
2020,1,2,12,5.92,251.6,94.87,6.4,18.98
2020,1,2,13,6.07,261.9,94.84,6.04,19.15
2020,1,2,14,6.1,272.0,94.86,5.73,18.91
2020,1,2,15,5.61,284.1,94.91,5.49,18.09
2020,1,2,16,4.4,302.5,94.98,5.51,15.0
2020,1,2,17,3.04,332.2,95.07,5.18,13.34
2020,1,2,18,2.55,21.6,95.15,5.11,12.49
2020,1,2,19,3.08,58.7,95.19,5.11,11.78
2020,1,2,20,3.8,77.4,95.22,5.15,10.8
2020,1,2,21,4.52,89.5,95.23,5.23,9.74
2020,1,2,22,5.22,99.6,95.23,5.35,8.85
2020,1,2,23,5.66,107.2,95.22,5.49,8.16
2020,1,3,0,5.98,113.1,95.23,5.63,7.54
2020,1,3,1,6.35,116.8,95.25,5.75,6.98
2020,1,3,2,6.69,118.2,95.26,5.83,6.48
2020,1,3,3,6.97,117.4,95.27,5.88,6.11
2020,1,3,4,7.21,116.9,95.29,5.92,5.9
2020,1,3,5,7.36,117.8,95.34,5.95,5.75
2020,1,3,6,7.36,118.2,95.4,5.98,5.53
2020,1,3,7,6.92,119.6,95.44,6.02,7.35
2020,1,3,8,5.32,121.2,95.48,6.06,10.37
2020,1,3,9,4.67,123.4,95.5,5.93,14.02
2020,1,3,10,3.63,140.3,95.44,5.55,17.33
2020,1,3,11,2.25,165.3,95.32,5.37,18.69
2020,1,3,12,1.6,210.4,95.21,5.34,19.34
2020,1,3,13,1.97,255.6,95.14,5.38,19.58
2020,1,3,14,2.54,279.8,95.11,5.4,19.34
2020,1,3,15,2.88,298.4,95.1,5.39,18.57
2020,1,3,16,3.64,320.5,95.14,5.54,15.3
2020,1,3,17,4.27,339.3,95.21,5.2,13.01
2020,1,3,18,4.15,359.3,95.27,5.05,12.24
2020,1,3,19,4.04,23.2,95.3,4.91,11.52
2020,1,3,20,4.25,46.4,95.31,4.79,10.7
2020,1,3,21,4.57,64.7,95.3,4.67,9.93
2020,1,3,22,4.83,78.9,95.29,4.56,9.22
2020,1,3,23,4.95,90.6,95.26,4.47,8.59
2020,1,4,0,4.96,100.8,95.24,4.41,8.05
2020,1,4,1,5.02,108.9,95.22,4.39,7.61
2020,1,4,2,5.14,112.9,95.2,4.43,7.43
2020,1,4,3,5.28,113.2,95.16,4.52,7.26
2020,1,4,4,5.43,110.9,95.15,4.65,7.34
2020,1,4,5,5.49,107.6,95.2,4.79,7.41
2020,1,4,6,5.51,103.1,95.27,4.9,7.49
2020,1,4,7,5.47,97.6,95.33,4.97,8.76
2020,1,4,8,4.69,91.7,95.4,4.98,10.76
2020,1,4,9,4.1,82.6,95.43,4.91,12.81
2020,1,4,10,3.56,73.5,95.38,4.83,15.88
2020,1,4,11,2.31,70.5,95.29,5.0,16.65
2020,1,4,12,1.88,74.0,95.18,5.16,16.61
2020,1,4,13,2.19,82.1,95.09,5.24,16.53
