-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  31.666   Longitude 62.232 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 574.92 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,8.36,115.4,94.7,3.28,5.84
2020,1,1,1,9.43,117.7,94.64,3.17,5.6
2020,1,1,2,8.75,115.1,94.62,3.1,4.86
2020,1,1,3,8.21,106.1,94.62,3.07,4.08
2020,1,1,4,8.25,93.8,94.67,3.06,3.66
2020,1,1,5,8.89,91.0,94.72,3.08,3.96
2020,1,1,6,9.43,93.8,94.78,3.1,4.13
2020,1,1,7,9.33,97.9,94.82,3.14,5.01
2020,1,1,8,8.17,104.7,94.86,3.12,7.0
2020,1,1,9,7.43,119.3,94.89,2.97,9.9
2020,1,1,10,5.45,135.8,94.87,2.99,12.51
2020,1,1,11,3.97,152.7,94.77,3.11,14.49
2020,1,1,12,3.21,176.1,94.66,3.23,16.05
2020,1,1,13,2.94,208.4,94.58,3.36,16.92
2020,1,1,14,3.24,236.8,94.53,3.43,17.1
2020,1,1,15,3.62,256.6,94.54,3.51,16.31
2020,1,1,16,3.64,273.6,94.59,3.68,13.0
2020,1,1,17,2.5,289.2,94.66,3.35,12.0
2020,1,1,18,0.86,325.9,94.72,3.3,12.02
2020,1,1,19,1.29,72.8,94.76,3.2,11.51
2020,1,1,20,2.54,87.1,94.79,3.18,10.46
2020,1,1,21,3.5,93.4,94.82,3.16,9.27
2020,1,1,22,4.17,99.2,94.8,3.18,8.21
2020,1,1,23,4.61,104.7,94.78,3.3,7.46
2020,1,2,0,4.79,109.4,94.74,3.58,7.35
2020,1,2,1,4.69,116.3,94.75,3.99,7.16
2020,1,2,2,4.47,121.4,94.76,4.52,7.05
2020,1,2,3,4.34,124.2,94.78,5.02,6.92
2020,1,2,4,4.68,122.4,94.82,5.45,6.79
2020,1,2,5,5.33,120.8,94.9,5.86,6.8
2020,1,2,6,5.86,122.9,94.98,6.18,6.93
2020,1,2,7,5.89,125.5,95.03,6.38,8.1
2020,1,2,8,4.98,124.4,95.06,6.5,9.89
2020,1,2,9,3.98,132.6,95.09,6.43,12.59
2020,1,2,10,3.38,168.2,95.04,6.33,15.72
2020,1,2,11,3.41,210.7,94.93,6.33,17.51
2020,1,2,12,4.03,240.6,94.83,6.22,18.16
2020,1,2,13,4.77,258.3,94.8,6.0,18.47
2020,1,2,14,5.3,271.7,94.82,5.73,18.36
2020,1,2,15,5.17,284.7,94.87,5.5,17.61
2020,1,2,16,4.19,300.4,94.94,5.41,14.55
2020,1,2,17,2.92,327.7,95.03,5.2,13.2
2020,1,2,18,2.43,17.2,95.11,5.21,12.48
2020,1,2,19,3.15,55.8,95.15,5.29,11.48
2020,1,2,20,4.11,71.9,95.18,5.42,10.28
2020,1,2,21,4.87,79.7,95.21,5.6,9.19
2020,1,2,22,5.47,84.8,95.22,5.79,8.36
2020,1,2,23,5.72,88.3,95.22,5.97,7.71
2020,1,3,0,5.8,92.1,95.23,6.1,7.11
2020,1,3,1,5.94,96.8,95.25,6.18,6.57
2020,1,3,2,6.13,101.0,95.26,6.22,6.07
2020,1,3,3,6.44,103.9,95.27,6.22,5.68
2020,1,3,4,6.95,105.5,95.3,6.17,5.4
2020,1,3,5,7.58,106.2,95.35,6.08,5.1
2020,1,3,6,8.1,105.5,95.42,5.99,4.82
2020,1,3,7,8.02,104.1,95.46,5.92,6.36
2020,1,3,8,6.31,101.3,95.5,5.91,8.77
2020,1,3,9,5.48,106.4,95.52,5.84,12.42
2020,1,3,10,4.27,121.0,95.47,5.42,15.89
2020,1,3,11,2.59,137.8,95.35,5.1,17.65
2020,1,3,12,1.2,167.0,95.23,4.94,18.36
2020,1,3,13,0.96,248.5,95.15,4.85,18.66
2020,1,3,14,1.63,286.8,95.12,4.81,18.59
2020,1,3,15,2.19,306.8,95.1,4.82,17.9
2020,1,3,16,3.01,327.5,95.13,4.94,14.9
2020,1,3,17,3.35,346.9,95.2,4.64,13.16
2020,1,3,18,3.33,11.1,95.25,4.57,12.4
2020,1,3,19,3.71,35.0,95.28,4.51,11.37
2020,1,3,20,4.37,51.9,95.28,4.46,10.22
2020,1,3,21,4.83,62.5,95.28,4.4,9.31
2020,1,3,22,5.08,70.0,95.27,4.35,8.55
2020,1,3,23,5.12,76.6,95.25,4.29,7.87
2020,1,4,0,5.16,84.1,95.22,4.23,7.28
2020,1,4,1,5.42,92.3,95.22,4.17,6.76
2020,1,4,2,5.87,97.8,95.2,4.12,6.36
2020,1,4,3,6.34,99.4,95.17,4.07,6.26
2020,1,4,4,6.72,98.4,95.17,4.03,6.26
2020,1,4,5,6.95,95.3,95.22,3.99,6.51
2020,1,4,6,7.14,91.8,95.29,3.93,6.58
2020,1,4,7,7.11,89.4,95.35,3.85,7.77
2020,1,4,8,5.97,88.7,95.42,3.8,9.5
2020,1,4,9,4.87,90.5,95.44,3.89,11.84
2020,1,4,10,3.77,88.9,95.38,4.13,14.34
2020,1,4,11,2.23,96.7,95.29,4.53,15.85
2020,1,4,12,1.59,114.1,95.18,4.67,16.18
2020,1,4,13,1.69,120.7,95.08,4.76,16.26
2020,1,4,14,1.95,111.3,95.03,4.84,15.95
2020,1,4,15,2.77,97.7,95.0,4.9,15.4
2020,1,4,16,4.05,93.7,95.0,4.95,13.33
2020,1,4,17,4.13,93.7,95.12,4.96,12.14
2020,1,4,18,5.5,86.8,95.15,5.02,11.91
2020,1,4,19,6.52,89.4,95.15,5.06,11.84
2020,1,4,20,7.08,94.5,95.12,5.15,11.59
2020,1,4,21,6.74,99.8,95.12,5.37,11.11
2020,1,4,22,6.59,103.3,95.06,5.63,10.58
2020,1,4,23,6.87,101.3,94.94,5.89,9.94
2020,1,5,0,6.25,96.4,94.93,6.16,9.46
2020,1,5,1,7.49,91.5,94.81,6.24,9.39
2020,1,5,2,7.27,94.7,94.77,6.28,9.49
2020,1,5,3,7.85,101.2,94.67,6.36,9.59
2020,1,5,4,8.33,116.9,94.61,6.47,9.78
2020,1,5,5,7.93,132.6,94.66,6.65,9.98
2020,1,5,6,8.2,142.7,94.63,6.9,10.2
2020,1,5,7,7.92,150.8,94.59,7.19,10.76
2020,1,5,8,6.61,159.1,94.65,7.5,11.8
2020,1,5,9,5.72,166.4,94.63,7.86,13.05
2020,1,5,10,6.61,187.3,94.56,8.3,14.69
2020,1,5,11,8.0,203.9,94.44,8.46,16.06
2020,1,5,12,8.31,215.0,94.33,8.34,17.0
2020,1,5,13,7.77,218.7,94.29,8.16,17.35
2020,1,5,14,6.17,211.8,94.27,8.07,17.1
2020,1,5,15,5.9,193.6,94.24,8.03,16.15
2020,1,5,16,7.23,199.8,94.37,7.96,14.86
2020,1,5,17,8.75,203.1,94.4,7.9,14.58
2020,1,5,18,10.2,209.5,94.42,7.91,14.77
2020,1,5,19,11.39,217.2,94.5,8.13,14.56
2020,1,5,20,11.58,219.3,94.53,8.49,14.0
2020,1,5,21,10.95,217.7,94.54,8.74,13.53
2020,1,5,22,9.83,213.9,94.51,8.81,13.1
2020,1,5,23,9.49,217.5,94.55,8.82,12.58
2020,1,6,0,8.74,215.1,94.5,8.82,12.25
2020,1,6,1,7.61,227.2,94.53,8.79,11.62
2020,1,6,2,7.12,238.9,94.54,8.71,11.66
2020,1,6,3,6.68,261.7,94.58,8.41,11.44
2020,1,6,4,5.53,287.2,94.59,7.95,10.83
2020,1,6,5,5.01,311.9,94.65,7.54,10.13
2020,1,6,6,4.97,324.7,94.74,7.25,9.49
2020,1,6,7,4.67,332.6,94.83,7.07,9.58
2020,1,6,8,3.87,331.4,94.93,6.96,10.51
2020,1,6,9,3.96,326.6,95.0,6.04,13.46
2020,1,6,10,4.72,320.7,94.99,4.35,16.41
2020,1,6,11,5.5,313.0,94.94,3.8,17.47
2020,1,6,12,6.3,311.1,94.87,3.27,17.91
2020,1,6,13,6.94,310.4,94.86,2.8,17.84
2020,1,6,14,7.27,309.9,94.89,2.62,17.2
2020,1,6,15,7.36,310.4,94.95,2.65,16.03
2020,1,6,16,7.23,312.4,95.03,3.07,12.86
2020,1,6,17,7.26,317.7,95.13,3.17,10.06
2020,1,6,18,7.14,325.9,95.21,3.15,9.07
2020,1,6,19,7.18,334.0,95.26,3.11,8.15
2020,1,6,20,7.22,339.2,95.3,3.11,7.27
2020,1,6,21,7.07,341.0,95.32,3.15,6.4
2020,1,6,22,6.79,340.0,95.34,3.22,5.56
2020,1,6,23,6.49,336.6,95.34,3.31,4.75
2020,1,7,0,6.18,332.1,95.33,3.38,3.99
2020,1,7,1,6.02,327.7,95.33,3.44,3.32
2020,1,7,2,6.03,324.7,95.33,3.49,2.74
2020,1,7,3,6.08,323.4,95.32,3.5,2.2
2020,1,7,4,6.1,323.5,95.33,3.45,1.74
2020,1,7,5,6.11,323.4,95.38,3.37,1.34
2020,1,7,6,6.18,322.9,95.43,3.28,1.04
2020,1,7,7,5.85,321.7,95.5,3.2,2.88
2020,1,7,8,4.53,315.2,95.59,3.17,5.25
2020,1,7,9,5.4,313.9,95.65,3.19,8.77
2020,1,7,10,7.87,319.1,95.63,3.0,12.71
2020,1,7,11,8.15,315.0,95.55,2.88,13.89
2020,1,7,12,8.47,313.5,95.45,2.8,14.45
2020,1,7,13,8.72,313.1,95.39,2.73,14.58
2020,1,7,14,8.9,312.5,95.36,2.68,14.28
2020,1,7,15,9.06,311.9,95.37,2.67,13.48
2020,1,7,16,8.95,309.8,95.4,2.79,10.93
2020,1,7,17,9.41,310.2,95.47,2.85,8.3
2020,1,7,18,9.58,313.5,95.52,2.86,7.42
2020,1,7,19,9.54,317.0,95.54,2.88,6.47
2020,1,7,20,9.4,319.5,95.56,2.88,5.52
2020,1,7,21,9.18,320.7,95.56,2.88,4.56
2020,1,7,22,8.92,321.0,95.53,2.88,3.61
2020,1,7,23,8.61,320.7,95.5,2.88,2.66
2020,1,8,0,8.21,322.0,95.48,2.88,1.73
2020,1,8,1,7.77,324.9,95.48,2.87,0.83
2020,1,8,2,7.25,328.9,95.46,2.83,-0.02
2020,1,8,3,6.64,333.4,95.43,2.77,-0.79
2020,1,8,4,5.88,338.3,95.44,2.72,-1.37
2020,1,8,5,4.82,343.7,95.48,2.66,-1.59
2020,1,8,6,3.46,346.1,95.54,2.62,-1.57
2020,1,8,7,1.89,345.9,95.59,2.6,-0.31
2020,1,8,8,0.42,316.9,95.67,2.6,1.57
2020,1,8,9,0.6,299.1,95.72,2.53,4.57
2020,1,8,10,1.52,321.7,95.69,2.32,7.8
2020,1,8,11,1.98,325.1,95.57,2.08,10.47
2020,1,8,12,1.51,328.8,95.44,1.89,12.04
2020,1,8,13,1.11,310.6,95.38,1.78,12.8
2020,1,8,14,1.19,276.8,95.35,1.74,12.93
2020,1,8,15,1.52,257.9,95.36,1.76,12.41
2020,1,8,16,2.06,238.7,95.38,2.25,9.89
2020,1,8,17,2.63,227.9,95.42,2.02,7.89
2020,1,8,18,3.13,220.7,95.49,2.04,6.62
2020,1,8,19,3.5,214.1,95.51,2.08,5.48
2020,1,8,20,3.65,205.4,95.52,2.09,4.58
2020,1,8,21,3.45,193.1,95.52,2.08,4.08
2020,1,8,22,3.09,174.2,95.48,2.07,3.8
2020,1,8,23,2.93,146.1,95.42,2.06,3.27
2020,1,9,0,3.5,118.3,95.39,2.05,2.0
2020,1,9,1,4.63,102.2,95.38,2.0,0.48
2020,1,9,2,5.83,96.1,95.38,1.89,-0.51
2020,1,9,3,6.85,97.4,95.37,1.75,-1.0
2020,1,9,4,7.59,103.0,95.4,1.61,-1.36
2020,1,9,5,8.29,110.0,95.45,1.55,-1.69
2020,1,9,6,8.78,115.5,95.5,1.57,-2.04
2020,1,9,7,8.2,117.8,95.51,1.64,-0.74
2020,1,9,8,6.18,115.4,95.53,1.68,1.7
2020,1,9,9,6.22,119.0,95.53,1.66,5.58
2020,1,9,10,6.29,129.6,95.46,1.56,9.42
2020,1,9,11,5.58,137.2,95.33,1.53,11.35
2020,1,9,12,4.89,143.6,95.21,1.52,12.57
2020,1,9,13,4.31,150.7,95.14,1.54,13.27
2020,1,9,14,3.8,155.9,95.11,1.57,13.46
2020,1,9,15,3.24,151.9,95.09,1.74,12.89
2020,1,9,16,2.51,123.3,95.08,2.19,10.16
2020,1,9,17,3.44,90.3,95.11,1.87,7.97
2020,1,9,18,5.54,83.0,95.13,1.87,5.99
2020,1,9,19,7.64,85.3,95.14,1.75,5.21
2020,1,9,20,9.12,90.2,95.17,1.65,4.87
2020,1,9,21,9.97,96.5,95.16,1.59,4.53
2020,1,9,22,10.36,99.7,95.12,1.57,4.17
2020,1,9,23,10.33,99.5,95.08,1.58,3.68
2020,1,10,0,9.78,100.8,95.12,1.62,2.89
2020,1,10,1,9.43,104.8,95.2,1.67,2.15
