-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  31.666   Longitude 60.748 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 955.88 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,3.34,199.0,90.34,3.98,4.06
2020,1,1,1,1.18,217.4,90.32,3.94,5.21
2020,1,1,2,0.85,90.0,90.27,3.95,4.92
2020,1,1,3,3.57,21.2,90.3,4.01,3.08
2020,1,1,4,7.28,18.0,90.33,4.06,3.09
2020,1,1,5,7.5,22.2,90.4,4.07,3.17
2020,1,1,6,5.79,21.6,90.49,4.02,2.56
2020,1,1,7,4.9,19.1,90.55,3.94,3.14
2020,1,1,8,4.03,20.5,90.59,3.74,5.64
2020,1,1,9,2.59,16.4,90.63,3.62,8.61
2020,1,1,10,1.8,339.9,90.61,3.73,11.04
2020,1,1,11,2.47,287.0,90.5,4.0,13.51
2020,1,1,12,3.42,263.5,90.35,4.23,15.6
2020,1,1,13,4.23,252.9,90.24,4.26,16.99
2020,1,1,14,4.82,248.2,90.18,4.17,17.55
2020,1,1,15,4.75,242.8,90.18,4.1,17.24
2020,1,1,16,3.56,225.2,90.22,4.87,14.2
2020,1,1,17,3.35,209.7,90.3,4.43,11.4
2020,1,1,18,3.37,207.8,90.39,4.36,9.98
2020,1,1,19,3.08,214.0,90.46,4.3,9.17
2020,1,1,20,2.61,226.4,90.51,4.24,8.78
2020,1,1,21,2.05,239.6,90.54,4.23,8.71
2020,1,1,22,1.54,245.8,90.52,4.23,8.7
2020,1,1,23,1.02,232.6,90.49,4.27,8.81
2020,1,2,0,0.35,202.1,90.45,4.33,8.59
2020,1,2,1,0.9,69.7,90.44,4.26,7.84
2020,1,2,2,1.72,61.9,90.46,4.19,6.75
2020,1,2,3,2.17,46.3,90.48,4.13,5.9
2020,1,2,4,2.3,28.8,90.53,4.09,5.22
2020,1,2,5,2.26,7.9,90.62,4.09,4.73
2020,1,2,6,2.26,349.3,90.69,4.11,4.42
2020,1,2,7,2.48,330.0,90.73,4.24,5.25
2020,1,2,8,2.62,303.9,90.77,4.64,8.62
2020,1,2,9,2.67,268.7,90.8,5.32,11.81
2020,1,2,10,3.36,261.3,90.76,5.46,14.49
2020,1,2,11,4.9,263.2,90.65,5.17,16.74
2020,1,2,12,6.19,265.4,90.56,4.84,17.86
2020,1,2,13,7.11,266.9,90.52,4.44,18.36
2020,1,2,14,7.37,268.3,90.52,4.0,18.46
2020,1,2,15,7.15,269.8,90.55,3.66,17.88
2020,1,2,16,6.55,269.2,90.62,4.07,14.34
2020,1,2,17,6.68,272.6,90.71,3.96,11.06
2020,1,2,18,6.75,280.6,90.8,3.99,10.94
2020,1,2,19,6.22,293.7,90.86,3.98,10.15
2020,1,2,20,5.76,313.9,90.9,3.87,8.38
2020,1,2,21,5.87,332.2,90.93,3.85,7.36
2020,1,2,22,6.11,344.0,90.95,3.88,6.43
2020,1,2,23,6.24,348.3,90.96,3.94,5.64
2020,1,3,0,6.08,349.3,90.96,4.0,5.0
2020,1,3,1,5.67,351.9,90.97,4.09,4.44
2020,1,3,2,5.32,355.5,90.97,4.21,3.95
2020,1,3,3,5.04,0.5,90.97,4.33,3.49
2020,1,3,4,4.81,6.2,90.98,4.41,3.12
2020,1,3,5,4.62,11.1,91.02,4.48,2.8
2020,1,3,6,4.48,12.9,91.08,4.54,2.44
2020,1,3,7,4.35,9.7,91.13,4.59,3.68
2020,1,3,8,3.21,13.0,91.18,4.83,6.78
2020,1,3,9,1.44,31.9,91.2,5.05,9.26
2020,1,3,10,0.22,172.2,91.17,4.88,12.32
2020,1,3,11,0.94,235.0,91.07,4.85,14.39
2020,1,3,12,1.43,254.2,90.95,4.75,15.68
2020,1,3,13,1.81,265.9,90.85,4.55,16.53
2020,1,3,14,1.86,265.4,90.79,4.34,16.94
2020,1,3,15,1.47,248.0,90.75,4.16,16.8
2020,1,3,16,1.63,162.1,90.76,4.8,14.05
2020,1,3,17,2.32,158.3,90.84,4.5,11.07
2020,1,3,18,1.94,184.4,90.92,4.4,10.57
2020,1,3,19,1.69,230.3,90.96,4.31,10.23
2020,1,3,20,2.09,273.6,90.99,4.16,9.33
2020,1,3,21,2.61,301.9,91.0,4.01,8.28
2020,1,3,22,3.13,324.9,90.98,3.87,7.29
2020,1,3,23,3.66,342.5,90.96,3.83,6.33
2020,1,4,0,4.14,354.0,90.92,3.9,5.66
2020,1,4,1,4.44,1.7,90.91,4.02,5.38
2020,1,4,2,4.52,6.1,90.9,4.17,5.36
2020,1,4,3,4.52,6.7,90.87,4.3,5.28
2020,1,4,4,4.75,5.0,90.88,4.32,5.24
2020,1,4,5,4.89,6.3,90.92,4.22,5.24
2020,1,4,6,4.86,7.8,91.0,4.11,5.26
2020,1,4,7,4.6,8.6,91.07,4.08,6.18
2020,1,4,8,3.69,21.3,91.12,4.13,8.2
2020,1,4,9,2.75,50.0,91.12,4.53,9.94
2020,1,4,10,1.79,84.5,91.09,4.81,11.38
2020,1,4,11,1.64,122.5,90.99,4.96,12.22
2020,1,4,12,2.08,135.8,90.86,5.1,12.65
2020,1,4,13,2.69,135.9,90.75,5.22,12.78
2020,1,4,14,3.09,133.0,90.7,5.32,12.51
2020,1,4,15,3.96,124.0,90.65,5.36,11.89
2020,1,4,16,3.83,134.3,90.76,5.4,10.78
2020,1,4,17,4.25,125.4,90.79,5.44,9.54
2020,1,4,18,4.11,138.0,90.86,5.56,8.88
2020,1,4,19,4.31,144.4,90.84,5.74,8.28
2020,1,4,20,3.79,156.7,90.85,5.94,7.71
2020,1,4,21,3.5,153.4,90.79,6.07,7.27
2020,1,4,22,3.34,139.9,90.68,6.17,6.86
2020,1,4,23,2.21,149.6,90.65,6.2,6.7
2020,1,5,0,2.92,130.8,90.5,6.29,6.59
2020,1,5,1,2.67,145.2,90.47,6.37,6.8
2020,1,5,2,3.65,151.0,90.38,6.44,6.93
2020,1,5,3,3.38,164.2,90.3,6.49,6.71
2020,1,5,4,3.85,182.8,90.3,6.57,6.8
2020,1,5,5,4.8,187.3,90.26,6.71,7.06
2020,1,5,6,5.84,192.4,90.21,6.91,7.15
2020,1,5,7,7.43,206.9,90.22,7.3,8.5
2020,1,5,8,7.85,216.4,90.21,7.73,10.55
2020,1,5,9,8.14,220.4,90.2,8.02,12.43
2020,1,5,10,11.0,230.9,90.16,8.07,14.26
2020,1,5,11,12.78,237.0,90.06,7.77,15.47
2020,1,5,12,13.46,240.9,89.99,7.51,16.18
2020,1,5,13,13.29,243.3,89.94,7.44,16.38
2020,1,5,14,11.64,243.6,89.87,7.61,16.21
2020,1,5,15,11.37,246.7,89.98,7.82,15.77
2020,1,5,16,10.35,251.9,90.05,7.96,14.43
2020,1,5,17,8.68,257.7,90.07,7.99,12.9
2020,1,5,18,7.7,254.2,90.16,7.99,11.91
2020,1,5,19,7.18,250.2,90.22,7.99,11.24
2020,1,5,20,6.92,249.1,90.23,7.92,10.75
2020,1,5,21,6.59,252.6,90.23,7.82,10.33
2020,1,5,22,6.58,259.5,90.28,7.71,9.88
2020,1,5,23,5.83,263.5,90.26,7.58,9.42
2020,1,6,0,6.04,282.3,90.26,7.39,9.26
2020,1,6,1,6.11,293.5,90.3,7.21,9.02
2020,1,6,2,5.92,303.3,90.34,7.1,8.73
2020,1,6,3,5.69,316.6,90.33,6.96,8.31
2020,1,6,4,6.21,330.4,90.35,6.68,7.83
2020,1,6,5,6.42,337.8,90.44,6.24,7.36
2020,1,6,6,6.47,338.6,90.54,5.64,5.91
2020,1,6,7,6.16,338.0,90.64,5.14,6.79
2020,1,6,8,5.8,350.0,90.75,4.51,8.82
2020,1,6,9,5.57,2.2,90.83,4.06,10.58
2020,1,6,10,4.79,1.8,90.85,3.71,12.12
2020,1,6,11,3.89,355.1,90.79,3.33,13.38
2020,1,6,12,3.06,340.9,90.71,2.99,14.44
2020,1,6,13,2.39,322.7,90.65,2.72,15.15
2020,1,6,14,1.94,307.0,90.63,2.53,15.35
2020,1,6,15,1.43,305.9,90.64,2.46,14.9
2020,1,6,16,1.04,39.9,90.7,3.91,12.27
2020,1,6,17,2.26,54.0,90.82,3.69,8.86
2020,1,6,18,3.05,39.8,90.92,3.72,7.33
2020,1,6,19,3.8,21.3,91.0,3.79,5.79
2020,1,6,20,4.55,8.0,91.06,3.79,4.48
2020,1,6,21,5.0,0.3,91.09,3.73,3.59
2020,1,6,22,5.1,351.8,91.1,3.65,2.92
2020,1,6,23,5.08,343.6,91.09,3.55,2.43
2020,1,7,0,4.86,338.5,91.07,3.44,2.09
2020,1,7,1,4.56,333.8,91.07,3.33,1.88
2020,1,7,2,4.41,328.5,91.05,3.21,1.79
2020,1,7,3,4.42,321.9,91.04,3.08,1.74
2020,1,7,4,4.49,315.6,91.05,2.97,1.65
2020,1,7,5,4.61,311.2,91.09,2.89,1.54
2020,1,7,6,4.84,308.3,91.14,2.83,1.35
2020,1,7,7,5.13,306.4,91.21,3.08,2.79
2020,1,7,8,4.32,312.9,91.29,2.92,6.89
2020,1,7,9,3.75,326.9,91.35,2.89,9.93
2020,1,7,10,3.67,334.1,91.33,2.79,11.76
2020,1,7,11,3.64,340.6,91.24,2.69,12.85
2020,1,7,12,3.71,346.1,91.14,2.59,13.57
2020,1,7,13,3.79,350.6,91.08,2.5,13.88
2020,1,7,14,3.78,357.6,91.06,2.42,13.72
2020,1,7,15,3.95,11.1,91.07,2.41,12.92
2020,1,7,16,4.93,36.0,91.13,3.15,10.06
2020,1,7,17,6.12,44.1,91.23,3.3,6.37
2020,1,7,18,6.18,37.7,91.31,3.33,4.96
2020,1,7,19,5.64,23.7,91.37,3.39,3.61
2020,1,7,20,5.29,5.9,91.4,3.38,2.6
2020,1,7,21,5.23,351.0,91.41,3.3,1.9
2020,1,7,22,5.4,337.9,91.38,3.21,1.37
2020,1,7,23,5.86,328.8,91.33,3.11,0.99
2020,1,8,0,6.19,325.1,91.29,3.02,0.69
2020,1,8,1,6.34,324.2,91.27,2.93,0.4
2020,1,8,2,6.33,324.7,91.23,2.82,0.08
2020,1,8,3,6.18,325.5,91.19,2.69,-0.24
2020,1,8,4,5.95,325.6,91.19,2.55,-0.53
2020,1,8,5,5.65,324.7,91.23,2.41,-0.73
2020,1,8,6,5.27,322.5,91.27,2.28,-0.86
2020,1,8,7,4.93,319.9,91.31,2.45,0.93
2020,1,8,8,3.57,324.8,91.37,2.23,5.44
2020,1,8,9,1.4,342.6,91.39,2.04,8.28
2020,1,8,10,0.28,64.4,91.34,1.85,10.07
2020,1,8,11,1.12,137.2,91.21,1.76,11.28
2020,1,8,12,1.85,153.7,91.11,1.74,12.08
2020,1,8,13,2.47,163.3,91.05,1.73,12.57
2020,1,8,14,3.0,165.7,91.01,1.74,12.65
2020,1,8,15,3.55,162.6,90.99,1.79,12.0
2020,1,8,16,4.7,151.4,91.01,2.59,8.95
2020,1,8,17,5.83,148.0,91.05,2.71,4.84
2020,1,8,18,5.95,152.9,91.09,2.71,3.5
2020,1,8,19,5.63,161.8,91.12,2.76,2.41
2020,1,8,20,5.52,173.0,91.12,2.77,1.55
2020,1,8,21,5.53,183.0,91.11,2.76,0.86
2020,1,8,22,5.26,189.5,91.07,2.73,0.28
2020,1,8,23,4.65,193.4,91.01,2.68,-0.12
2020,1,9,0,3.84,196.6,90.97,2.62,-0.22
2020,1,9,1,3.08,197.4,90.96,2.58,-0.21
2020,1,9,2,2.5,196.5,90.95,2.54,-0.3
2020,1,9,3,2.08,190.5,90.93,2.54,-0.6
2020,1,9,4,1.88,169.6,90.93,2.58,-1.05
2020,1,9,5,2.08,148.1,90.98,2.66,-1.82
2020,1,9,6,2.31,140.3,91.01,2.77,-2.68
2020,1,9,7,2.24,138.6,91.03,2.82,-1.9
2020,1,9,8,2.83,139.2,91.06,2.69,0.23
2020,1,9,9,4.43,142.6,91.07,2.44,2.84
2020,1,9,10,5.15,145.0,91.03,2.24,5.36
2020,1,9,11,5.36,150.1,90.95,2.18,6.99
2020,1,9,12,5.16,157.2,90.84,2.18,8.15
2020,1,9,13,4.83,160.1,90.78,2.26,9.12
2020,1,9,14,4.5,156.3,90.73,2.37,9.86
2020,1,9,15,4.59,142.9,90.69,2.47,9.82
2020,1,9,16,5.49,117.8,90.7,2.65,7.4
2020,1,9,17,6.0,107.3,90.75,2.68,3.53
2020,1,9,18,4.95,106.1,90.8,2.63,2.41
2020,1,9,19,3.56,104.0,90.82,2.57,2.04
2020,1,9,20,2.54,94.5,90.83,2.45,2.18
2020,1,9,21,2.15,69.6,90.81,2.38,1.99
2020,1,9,22,2.57,36.3,90.79,2.3,1.41
2020,1,9,23,3.09,16.4,90.79,2.19,0.85
2020,1,10,0,3.0,10.7,90.8,2.13,0.59
2020,1,10,1,2.65,16.9,90.81,2.19,0.54
2020,1,10,2,2.61,13.1,90.78,2.25,0.26
2020,1,10,3,2.62,349.9,90.79,2.3,-0.27
2020,1,10,4,3.23,347.9,90.78,2.31,-0.36
2020,1,10,5,3.56,357.1,90.79,2.28,-0.61
2020,1,10,6,3.91,6.8,90.82,2.23,-0.69
2020,1,10,7,3.25,7.1,90.88,2.27,0.48
2020,1,10,8,1.19,4.8,90.97,2.1,2.91
2020,1,10,9,0.55,190.5,91.0,2.46,5.26
2020,1,10,10,2.09,181.4,90.9,3.32,8.27
2020,1,10,11,3.09,169.7,90.75,3.91,10.65
2020,1,10,12,4.42,164.0,90.63,4.4,12.58
2020,1,10,13,5.76,152.9,90.56,4.51,13.24
2020,1,10,14,6.89,141.8,90.52,4.44,12.8
2020,1,10,15,7.33,130.5,90.52,4.31,10.89
2020,1,10,16,6.68,126.8,90.56,4.18,8.77
2020,1,10,17,5.03,127.6,90.59,4.25,7.04
2020,1,10,18,3.32,128.6,90.62,4.4,6.32
2020,1,10,19,1.74,123.5,90.6,4.49,5.94
2020,1,10,20,1.61,174.6,90.62,4.64,5.79
2020,1,10,21,2.94,169.0,90.62,5.06,5.62
2020,1,10,22,2.81,158.3,90.56,5.13,5.04
2020,1,10,23,3.0,131.3,90.49,5.42,4.7
2020,1,11,0,3.95,107.8,90.37,5.71,4.87
2020,1,11,1,4.41,109.7,90.34,5.91,5.19
2020,1,11,2,4.72,119.3,90.33,5.98,5.34
2020,1,11,3,5.29,119.4,90.23,5.94,5.17
2020,1,11,4,4.89,132.9,90.28,5.85,5.06
2020,1,11,5,3.55,127.3,90.28,5.76,4.89
2020,1,11,6,2.34,123.1,90.37,5.67,4.79
2020,1,11,7,1.96,127.1,90.43,5.5,4.5
2020,1,11,8,1.21,109.8,90.45,5.13,3.73
2020,1,11,9,1.88,88.8,90.43,4.97,3.46
2020,1,11,10,2.76,99.2,90.4,5.17,3.95
2020,1,11,11,3.38,104.9,90.29,5.42,4.53
2020,1,11,12,5.01,114.9,90.12,5.69,5.25
2020,1,11,13,5.97,126.0,90.02,5.87,5.91
2020,1,11,14,6.05,128.8,89.93,6.04,6.3
2020,1,11,15,6.12,126.0,89.88,6.23,6.46
2020,1,11,16,6.16,122.1,89.87,6.27,6.17
2020,1,11,17,5.93,116.5,89.91,6.1,5.66
2020,1,11,18,5.68,117.1,89.94,5.88,5.19
2020,1,11,19,4.95,124.2,89.94,5.73,4.85
2020,1,11,20,4.27,136.6,89.91,5.74,4.78
2020,1,11,21,4.37,159.2,89.85,5.88,4.96
2020,1,11,22,4.91,187.7,89.78,6.13,5.25
2020,1,11,23,5.67,213.3,89.72,6.55,5.81
2020,1,12,0,6.62,235.5,89.69,6.85,6.18
2020,1,12,1,7.2,250.5,89.71,6.77,5.42
2020,1,12,2,8.0,259.4,89.75,6.38,4.58
2020,1,12,3,8.79,264.4,89.78,5.84,3.95
2020,1,12,4,9.04,268.5,89.83,5.4,3.24
2020,1,12,5,8.65,274.8,89.92,5.09,2.43
2020,1,12,6,7.85,284.0,90.03,4.85,1.66
2020,1,12,7,6.99,296.2,90.15,4.66,2.65
2020,1,12,8,7.19,307.0,90.26,4.39,4.32
2020,1,12,9,6.99,309.5,90.34,4.1,5.37
2020,1,12,10,6.85,310.9,90.38,3.86,5.72
2020,1,12,11,7.06,315.3,90.34,3.65,5.96
2020,1,12,12,7.33,322.1,90.28,3.45,6.5
2020,1,12,13,7.65,331.1,90.25,3.27,6.76
2020,1,12,14,8.09,341.3,90.3,3.1,6.24
2020,1,12,15,8.83,352.2,90.39,2.95,5.02
2020,1,12,16,9.49,359.9,90.49,2.83,3.01
2020,1,12,17,9.24,4.6,90.61,2.76,0.77
2020,1,12,18,8.57,358.1,90.72,2.7,-0.44
2020,1,12,19,7.84,346.2,90.78,2.67,-0.92
2020,1,12,20,6.97,335.3,90.8,2.7,-1.43
2020,1,12,21,6.67,325.7,90.81,2.7,-1.85
2020,1,12,22,6.47,319.4,90.78,2.65,-2.24
2020,1,12,23,6.27,315.1,90.73,2.6,-2.6
2020,1,13,0,6.08,311.9,90.68,2.56,-2.96
2020,1,13,1,5.99,311.3,90.68,2.52,-3.28
2020,1,13,2,6.01,311.8,90.68,2.5,-3.54
2020,1,13,3,5.99,311.9,90.67,2.48,-3.8
2020,1,13,4,5.94,312.1,90.68,2.46,-4.01
2020,1,13,5,5.88,312.3,90.73,2.44,-4.18
2020,1,13,6,5.94,310.8,90.8,2.41,-4.25
2020,1,13,7,5.7,308.7,90.86,2.48,-2.18
2020,1,13,8,4.23,315.4,90.88,2.4,1.13
2020,1,13,9,3.56,325.6,90.9,2.21,4.52
2020,1,13,10,2.99,328.1,90.87,2.08,6.5
2020,1,13,11,2.45,327.3,90.77,1.99,7.94
2020,1,13,12,2.06,322.7,90.64,1.91,9.03
2020,1,13,13,1.75,316.6,90.56,1.85,9.63
2020,1,13,14,1.49,311.7,90.53,1.82,9.76
2020,1,13,15,0.94,317.2,90.54,1.83,9.28
2020,1,13,16,1.11,71.6,90.56,3.06,7.07
2020,1,13,17,2.74,83.7,90.64,3.28,4.36
2020,1,13,18,3.35,78.1,90.75,3.15,3.29
2020,1,13,19,3.34,73.7,90.83,3.05,2.4
2020,1,13,20,3.12,74.0,90.88,3.07,1.44
2020,1,13,21,2.74,79.3,90.9,3.11,0.46
2020,1,13,22,2.23,90.0,90.91,2.97,-0.23
2020,1,13,23,1.59,106.5,90.87,2.84,-1.09
2020,1,14,0,1.01,133.0,90.82,2.72,-1.51
2020,1,14,1,0.66,185.2,90.79,2.63,-1.77
2020,1,14,2,0.88,245.8,90.79,2.56,-2.08
2020,1,14,3,1.39,267.1,90.79,2.52,-2.36
2020,1,14,4,1.78,275.8,90.83,2.5,-2.57
2020,1,14,5,1.82,289.9,90.9,2.48,-2.64
2020,1,14,6,1.71,318.1,90.99,2.45,-2.55
2020,1,14,7,1.94,347.8,91.04,2.64,-1.37
2020,1,14,8,2.05,27.6,91.08,2.44,1.2
2020,1,14,9,2.36,44.0,91.1,2.41,3.2
2020,1,14,10,2.53,47.2,91.08,2.44,4.63
2020,1,14,11,2.62,45.2,91.03,2.47,5.49
2020,1,14,12,2.63,39.1,90.94,2.51,5.95
2020,1,14,13,2.7,33.0,90.9,2.55,6.34
2020,1,14,14,3.03,33.0,90.91,2.57,6.47
2020,1,14,15,3.72,36.8,90.94,2.55,5.95
2020,1,14,16,4.95,45.0,90.98,2.61,4.13
2020,1,14,17,6.3,46.7,91.05,2.67,0.91
2020,1,14,18,6.53,32.4,91.15,2.46,-0.59
2020,1,14,19,6.79,10.2,91.23,2.31,-1.87
2020,1,14,20,7.6,355.5,91.25,2.21,-2.72
2020,1,14,21,8.46,350.3,91.26,2.22,-3.11
2020,1,14,22,8.88,347.6,91.26,2.26,-3.4
2020,1,14,23,9.08,346.1,91.24,2.27,-3.7
2020,1,15,0,9.17,344.9,91.23,2.27,-3.88
2020,1,15,1,9.18,345.2,91.24,2.26,-3.81
2020,1,15,2,9.23,346.1,91.24,2.22,-3.68
2020,1,15,3,9.39,345.8,91.24,2.14,-3.65
2020,1,15,4,9.36,345.0,91.26,2.03,-3.76
2020,1,15,5,9.22,343.7,91.31,1.91,-3.86
2020,1,15,6,9.14,342.4,91.39,1.82,-3.89
2020,1,15,7,8.97,340.1,91.46,1.74,-1.91
2020,1,15,8,9.04,342.5,91.49,1.56,1.29
2020,1,15,9,9.74,348.8,91.53,1.35,4.38
2020,1,15,10,9.41,352.2,91.53,1.41,6.59
2020,1,15,11,9.11,353.8,91.47,1.49,8.04
2020,1,15,12,8.95,355.5,91.39,1.54,8.91
2020,1,15,13,9.02,357.3,91.34,1.62,9.1
2020,1,15,14,9.17,359.5,91.34,1.76,8.6
2020,1,15,15,9.12,2.3,91.37,1.92,7.44
2020,1,15,16,8.24,10.6,91.41,2.27,4.97
2020,1,15,17,7.81,14.7,91.46,2.45,1.29
2020,1,15,18,7.48,4.1,91.5,2.49,-0.12
2020,1,15,19,7.01,349.2,91.52,2.52,-0.97
2020,1,15,20,6.29,333.3,91.52,2.52,-1.54
2020,1,15,21,5.92,317.7,91.51,2.47,-1.92
2020,1,15,22,5.72,305.2,91.51,2.39,-2.13
2020,1,15,23,5.53,297.2,91.48,2.29,-2.32
2020,1,16,0,5.1,294.2,91.43,2.2,-2.48
2020,1,16,1,4.51,295.2,91.41,2.12,-2.46
2020,1,16,2,4.23,301.2,91.38,2.07,-2.34
2020,1,16,3,4.37,314.1,91.37,2.07,-2.17
2020,1,16,4,4.72,327.9,91.38,2.08,-2.1
2020,1,16,5,5.06,338.8,91.42,2.11,-2.14
2020,1,16,6,5.5,348.9,91.48,2.18,-2.36
