-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  31.929   Longitude 61.49 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 589.74 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,2.58,180.9,94.51,4.11,6.01
2020,1,1,1,0.64,306.7,94.53,4.2,6.52
2020,1,1,2,3.26,72.5,94.46,4.17,5.3
2020,1,1,3,5.14,50.5,94.54,3.98,4.14
2020,1,1,4,6.7,45.0,94.56,3.76,4.45
2020,1,1,5,6.99,47.5,94.57,3.66,4.41
2020,1,1,6,6.49,48.9,94.62,3.69,4.06
2020,1,1,7,5.47,45.7,94.69,3.83,4.94
2020,1,1,8,4.3,51.4,94.74,3.86,8.14
2020,1,1,9,4.27,78.8,94.79,3.58,11.12
2020,1,1,10,3.24,88.9,94.76,3.41,13.16
2020,1,1,11,1.85,103.1,94.66,3.34,14.55
2020,1,1,12,0.94,138.0,94.56,3.41,15.44
2020,1,1,13,1.0,156.5,94.46,3.59,16.17
2020,1,1,14,1.51,147.2,94.38,3.74,16.77
2020,1,1,15,2.87,128.9,94.36,3.9,16.71
2020,1,1,16,5.59,120.3,94.37,4.5,13.32
2020,1,1,17,6.92,124.0,94.42,4.07,10.79
2020,1,1,18,6.8,131.4,94.5,3.9,9.82
2020,1,1,19,5.9,140.5,94.57,3.81,8.88
2020,1,1,20,4.52,150.3,94.63,3.75,8.28
2020,1,1,21,3.07,159.4,94.68,3.68,8.52
2020,1,1,22,1.95,162.4,94.68,3.61,8.89
2020,1,1,23,1.15,150.8,94.64,3.6,8.86
2020,1,2,0,0.73,87.6,94.61,3.72,8.59
2020,1,2,1,1.49,57.6,94.62,3.65,8.0
2020,1,2,2,2.54,56.7,94.63,3.7,7.08
2020,1,2,3,3.43,58.3,94.63,3.69,6.33
2020,1,2,4,3.7,59.6,94.66,3.72,6.03
2020,1,2,5,3.26,61.0,94.74,3.82,6.13
2020,1,2,6,2.74,65.2,94.83,3.94,6.13
2020,1,2,7,2.5,63.8,94.87,4.22,6.37
2020,1,2,8,2.03,52.0,94.93,4.47,8.69
2020,1,2,9,1.14,77.3,94.98,4.37,11.6
2020,1,2,10,0.74,147.2,94.94,4.31,14.7
2020,1,2,11,0.86,224.5,94.83,4.55,16.37
2020,1,2,12,1.5,268.9,94.72,4.65,17.8
2020,1,2,13,2.2,283.7,94.66,4.61,18.82
2020,1,2,14,2.42,295.7,94.65,4.47,19.39
2020,1,2,15,1.8,334.0,94.65,4.84,19.09
2020,1,2,16,3.02,49.3,94.69,5.27,16.08
2020,1,2,17,4.5,62.0,94.78,4.87,13.26
2020,1,2,18,4.89,61.5,94.88,4.81,11.72
2020,1,2,19,4.75,54.1,94.97,4.81,10.53
2020,1,2,20,4.87,47.0,95.03,4.81,9.39
2020,1,2,21,5.02,42.5,95.07,4.85,8.53
2020,1,2,22,4.87,36.1,95.08,4.89,7.82
2020,1,2,23,4.49,26.0,95.09,4.9,7.08
2020,1,3,0,4.22,18.2,95.09,4.87,6.4
2020,1,3,1,3.97,15.3,95.11,4.8,5.83
2020,1,3,2,3.83,16.1,95.13,4.74,5.35
2020,1,3,3,3.79,21.2,95.13,4.71,4.91
2020,1,3,4,3.73,30.6,95.15,4.73,4.44
2020,1,3,5,3.68,42.4,95.21,4.82,3.95
2020,1,3,6,3.62,52.2,95.27,4.98,3.49
2020,1,3,7,3.36,56.2,95.33,5.17,4.46
2020,1,3,8,2.38,62.5,95.38,5.34,7.16
2020,1,3,9,1.7,87.3,95.4,5.56,9.63
2020,1,3,10,1.83,118.8,95.36,5.74,12.22
2020,1,3,11,1.8,145.9,95.26,5.39,15.17
2020,1,3,12,1.5,163.7,95.15,5.06,16.66
2020,1,3,13,1.26,167.2,95.07,4.91,17.23
2020,1,3,14,1.47,141.6,95.02,4.8,17.31
2020,1,3,15,2.8,119.5,94.99,4.75,16.9
2020,1,3,16,5.32,112.9,94.98,5.16,13.87
2020,1,3,17,6.3,112.4,95.02,4.97,11.33
2020,1,3,18,5.47,111.9,95.1,4.93,10.53
2020,1,3,19,4.06,107.8,95.14,4.87,10.23
2020,1,3,20,2.7,100.0,95.16,4.82,10.61
2020,1,3,21,1.61,82.1,95.16,4.81,10.87
2020,1,3,22,1.1,42.1,95.16,4.8,10.49
2020,1,3,23,1.47,2.3,95.12,4.78,9.58
2020,1,4,0,2.2,349.8,95.1,4.75,8.36
2020,1,4,1,2.72,349.6,95.08,4.71,7.3
2020,1,4,2,3.03,353.2,95.06,4.65,6.65
2020,1,4,3,3.33,0.2,95.04,4.57,6.16
2020,1,4,4,3.77,7.2,95.04,4.45,5.87
2020,1,4,5,4.18,15.0,95.1,4.31,5.8
2020,1,4,6,4.43,21.7,95.17,4.19,5.71
2020,1,4,7,4.29,25.1,95.23,4.18,6.61
2020,1,4,8,3.16,30.6,95.28,4.16,8.57
2020,1,4,9,1.8,52.4,95.29,4.37,10.9
2020,1,4,10,1.14,108.9,95.25,4.75,13.81
2020,1,4,11,1.49,153.3,95.15,4.86,15.39
2020,1,4,12,1.94,159.8,95.01,4.88,16.02
2020,1,4,13,2.55,153.4,94.91,4.93,16.35
2020,1,4,14,2.95,147.3,94.84,5.0,16.16
2020,1,4,15,3.6,131.4,94.78,5.07,15.41
2020,1,4,16,4.42,137.2,94.84,5.38,13.26
2020,1,4,17,5.26,137.2,94.93,5.41,11.97
2020,1,4,18,5.94,131.4,94.95,5.42,11.34
2020,1,4,19,6.07,131.1,94.95,5.51,10.86
2020,1,4,20,5.87,136.1,94.95,5.64,10.43
2020,1,4,21,5.41,137.3,94.95,5.84,10.05
2020,1,4,22,5.8,130.7,94.83,6.02,9.77
2020,1,4,23,5.13,136.2,94.81,6.22,9.28
2020,1,5,0,5.6,126.0,94.69,6.32,8.8
2020,1,5,1,5.53,122.7,94.61,6.31,8.5
2020,1,5,2,5.92,126.1,94.57,6.32,8.63
2020,1,5,3,5.83,122.7,94.47,6.35,8.53
2020,1,5,4,5.14,129.3,94.44,6.37,8.36
2020,1,5,5,5.1,140.6,94.45,6.42,8.47
2020,1,5,6,5.77,144.2,94.41,6.49,8.38
2020,1,5,7,5.65,154.3,94.39,6.58,8.78
2020,1,5,8,4.92,164.1,94.42,6.75,9.66
2020,1,5,9,4.63,159.9,94.38,7.03,10.8
2020,1,5,10,4.8,164.3,94.3,7.41,12.34
2020,1,5,11,4.94,184.3,94.18,7.77,14.51
2020,1,5,12,5.33,205.9,94.07,7.89,16.53
2020,1,5,13,5.51,216.0,94.01,7.9,17.82
2020,1,5,14,4.97,214.0,93.92,8.27,17.65
2020,1,5,15,5.35,212.6,93.96,8.37,16.44
2020,1,5,16,6.19,219.0,94.09,7.97,14.64
2020,1,5,17,5.18,222.0,94.1,7.85,13.79
2020,1,5,18,5.14,217.3,94.15,7.83,13.36
2020,1,5,19,6.07,225.9,94.23,7.85,12.88
2020,1,5,20,6.4,238.2,94.25,7.78,12.42
2020,1,5,21,6.34,254.2,94.25,7.58,11.92
2020,1,5,22,6.68,276.5,94.29,7.18,11.5
2020,1,5,23,6.64,295.7,94.3,6.69,10.97
2020,1,6,0,7.85,316.9,94.33,6.24,10.88
2020,1,6,1,8.78,327.3,94.39,5.72,10.49
2020,1,6,2,8.84,330.4,94.46,5.35,9.89
2020,1,6,3,8.43,333.5,94.5,5.21,9.28
2020,1,6,4,8.37,339.9,94.52,5.18,8.78
2020,1,6,5,8.33,344.3,94.6,5.13,8.14
2020,1,6,6,8.23,343.6,94.66,5.04,7.16
2020,1,6,7,8.28,334.4,94.76,4.86,6.83
2020,1,6,8,7.89,332.6,94.86,4.74,8.51
2020,1,6,9,7.91,344.3,94.95,4.48,11.75
2020,1,6,10,7.23,348.6,94.98,3.93,14.2
2020,1,6,11,6.77,342.6,94.92,3.63,15.23
2020,1,6,12,6.67,337.7,94.86,3.39,15.79
2020,1,6,13,6.39,338.3,94.83,3.21,15.92
2020,1,6,14,5.91,345.8,94.84,3.12,15.6
2020,1,6,15,5.71,359.9,94.87,3.13,14.68
2020,1,6,16,6.49,16.2,94.93,3.78,11.64
2020,1,6,17,7.65,18.1,95.02,3.83,8.69
2020,1,6,18,8.18,11.6,95.13,3.77,7.78
2020,1,6,19,8.3,2.1,95.19,3.75,6.85
2020,1,6,20,8.31,351.1,95.24,3.76,5.99
2020,1,6,21,8.35,342.4,95.27,3.77,5.24
2020,1,6,22,8.35,336.8,95.28,3.78,4.56
2020,1,6,23,8.39,333.4,95.28,3.77,3.95
2020,1,7,0,8.36,331.0,95.28,3.74,3.39
2020,1,7,1,8.3,328.9,95.28,3.7,2.9
2020,1,7,2,8.4,327.7,95.26,3.64,2.59
