-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  30.394   Longitude 62.232 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 611.72 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,8.0,140.3,94.29,3.12,6.14
2020,1,1,1,8.54,149.6,94.22,2.97,5.83
2020,1,1,2,9.04,156.7,94.15,2.85,5.59
2020,1,1,3,8.93,163.1,94.12,2.79,5.13
2020,1,1,4,8.39,165.2,94.12,2.76,4.59
2020,1,1,5,7.7,160.3,94.2,2.76,4.15
2020,1,1,6,7.69,154.2,94.28,2.81,3.94
2020,1,1,7,7.91,154.1,94.35,2.96,5.95
2020,1,1,8,7.03,160.5,94.39,3.2,9.15
2020,1,1,9,7.26,190.1,94.43,4.11,12.79
2020,1,1,10,6.99,212.0,94.4,5.05,15.59
2020,1,1,11,6.39,224.2,94.33,5.25,17.29
2020,1,1,12,5.89,234.6,94.24,5.14,18.2
2020,1,1,13,5.38,243.3,94.16,4.92,18.57
2020,1,1,14,4.83,252.3,94.12,4.71,18.49
2020,1,1,15,4.19,266.3,94.13,4.57,17.73
2020,1,1,16,3.73,295.5,94.18,4.84,14.28
2020,1,1,17,3.26,330.0,94.24,4.21,12.52
2020,1,1,18,2.85,9.7,94.31,3.99,12.09
2020,1,1,19,3.08,51.2,94.35,3.92,11.32
2020,1,1,20,3.8,84.6,94.38,3.98,10.14
2020,1,1,21,4.43,110.0,94.4,4.23,9.52
2020,1,1,22,4.99,134.1,94.38,4.68,9.13
2020,1,1,23,5.54,159.3,94.33,5.08,8.78
2020,1,2,0,6.05,177.7,94.3,5.29,8.55
2020,1,2,1,6.82,184.0,94.31,5.44,8.35
2020,1,2,2,7.75,185.6,94.33,5.64,8.2
2020,1,2,3,8.15,191.3,94.36,5.87,8.31
2020,1,2,4,8.0,193.7,94.4,6.09,8.45
2020,1,2,5,8.08,194.0,94.47,6.37,8.77
2020,1,2,6,8.43,193.8,94.56,6.72,9.02
2020,1,2,7,8.62,193.7,94.59,7.08,10.91
2020,1,2,8,7.58,195.0,94.63,7.35,13.71
2020,1,2,9,7.73,210.6,94.66,7.33,16.86
2020,1,2,10,7.39,228.2,94.62,7.11,18.63
2020,1,2,11,6.62,241.5,94.53,6.85,19.35
2020,1,2,12,6.23,254.4,94.45,6.54,19.83
2020,1,2,13,6.14,266.4,94.41,6.27,19.99
2020,1,2,14,6.08,277.5,94.43,6.02,19.75
2020,1,2,15,5.54,290.8,94.47,5.81,18.88
2020,1,2,16,4.55,315.1,94.54,5.93,15.61
2020,1,2,17,3.8,347.4,94.63,5.55,13.31
2020,1,2,18,3.61,23.7,94.72,5.39,12.43
2020,1,2,19,3.8,52.7,94.76,5.3,11.9
2020,1,2,20,4.07,74.5,94.79,5.24,11.18
2020,1,2,21,4.58,92.1,94.81,5.25,10.24
2020,1,2,22,5.21,105.9,94.8,5.33,9.37
2020,1,2,23,5.64,115.5,94.79,5.45,8.69
2020,1,3,0,5.8,122.0,94.8,5.58,8.12
2020,1,3,1,5.86,126.0,94.81,5.68,7.69
2020,1,3,2,5.81,129.3,94.82,5.76,7.33
2020,1,3,3,5.68,132.6,94.82,5.82,7.02
2020,1,3,4,5.55,136.8,94.83,5.88,6.74
2020,1,3,5,5.41,142.4,94.89,5.94,6.6
2020,1,3,6,5.27,147.5,94.95,6.0,6.46
2020,1,3,7,4.95,154.0,94.99,6.05,8.32
2020,1,3,8,3.95,160.3,95.03,6.11,11.74
2020,1,3,9,3.37,161.3,95.05,6.02,15.11
2020,1,3,10,2.81,177.6,94.99,5.98,17.57
2020,1,3,11,2.49,205.2,94.88,5.98,18.76
2020,1,3,12,2.51,233.9,94.77,6.04,19.38
2020,1,3,13,2.72,258.6,94.7,6.08,19.58
2020,1,3,14,2.9,278.9,94.68,6.05,19.36
2020,1,3,15,2.89,297.6,94.67,5.96,18.65
2020,1,3,16,3.19,319.6,94.7,6.17,15.82
2020,1,3,17,3.87,339.6,94.77,5.77,13.51
2020,1,3,18,4.16,356.8,94.84,5.58,12.55
2020,1,3,19,4.14,14.7,94.88,5.4,11.79
2020,1,3,20,3.98,34.4,94.88,5.24,11.19
2020,1,3,21,3.79,55.8,94.88,5.12,10.71
2020,1,3,22,3.64,77.0,94.86,5.04,10.24
2020,1,3,23,3.52,97.7,94.82,5.02,9.69
2020,1,4,0,3.39,118.5,94.79,5.08,9.17
2020,1,4,1,3.37,136.1,94.78,5.22,8.75
2020,1,4,2,3.41,145.1,94.74,5.42,8.43
2020,1,4,3,3.37,146.7,94.71,5.63,8.23
2020,1,4,4,3.38,143.7,94.71,5.81,8.19
2020,1,4,5,3.37,140.3,94.75,5.92,8.24
2020,1,4,6,3.21,135.5,94.8,5.95,8.43
2020,1,4,7,2.98,127.6,94.86,5.92,9.57
2020,1,4,8,2.44,113.9,94.93,5.89,12.03
2020,1,4,9,2.51,85.4,94.96,5.75,14.21
2020,1,4,10,2.73,74.5,94.91,5.56,16.3
2020,1,4,11,2.19,76.0,94.82,5.58,16.88
2020,1,4,12,2.17,76.9,94.72,5.69,16.82
2020,1,4,13,2.76,78.9,94.62,5.76,16.81
2020,1,4,14,3.48,80.1,94.55,5.79,16.81
2020,1,4,15,4.28,79.5,94.52,5.78,16.37
2020,1,4,16,5.26,76.1,94.53,5.84,14.25
2020,1,4,17,6.53,70.1,94.62,5.62,12.18
2020,1,4,18,8.04,70.1,94.67,5.49,12.04
2020,1,4,19,8.12,73.6,94.68,5.51,12.25
2020,1,4,20,6.92,85.2,94.67,5.72,11.59
2020,1,4,21,6.14,97.7,94.65,6.11,10.98
2020,1,4,22,5.59,102.4,94.59,6.55,10.52
2020,1,4,23,6.0,107.6,94.45,6.85,10.36
2020,1,5,0,4.95,116.2,94.39,7.13,10.36
2020,1,5,1,4.86,126.3,94.31,7.39,10.62
2020,1,5,2,4.43,137.4,94.27,7.63,10.66
2020,1,5,3,4.64,143.2,94.2,7.82,10.9
2020,1,5,4,4.91,159.2,94.22,7.94,11.04
2020,1,5,5,6.29,177.5,94.26,8.06,11.25
2020,1,5,6,7.94,185.9,94.28,8.16,11.54
2020,1,5,7,8.67,186.2,94.24,8.24,12.1
2020,1,5,8,8.33,194.2,94.3,8.37,13.53
2020,1,5,9,9.25,199.8,94.3,8.6,14.87
2020,1,5,10,10.74,207.5,94.23,8.73,16.58
2020,1,5,11,11.47,216.1,94.15,8.61,17.44
2020,1,5,12,10.94,217.3,94.03,8.45,17.87
2020,1,5,13,9.85,218.2,93.97,8.27,18.4
2020,1,5,14,9.04,215.4,93.95,8.12,18.61
2020,1,5,15,8.89,206.9,93.9,8.08,18.03
2020,1,5,16,9.23,219.2,94.05,8.18,16.72
2020,1,5,17,9.23,223.0,94.15,8.42,15.58
2020,1,5,18,8.81,219.7,94.21,8.78,14.81
2020,1,5,19,7.85,220.6,94.26,9.14,14.1
2020,1,5,20,6.53,224.3,94.27,9.33,13.45
2020,1,5,21,5.35,220.8,94.26,9.41,12.98
2020,1,5,22,4.4,204.9,94.21,9.51,12.71
2020,1,5,23,4.28,213.7,94.22,9.58,12.32
2020,1,6,0,3.64,217.0,94.17,9.57,12.48
2020,1,6,1,3.42,208.8,94.17,9.55,11.9
2020,1,6,2,3.01,225.3,94.18,9.5,12.28
2020,1,6,3,2.91,247.8,94.19,9.42,12.04
