-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  30.394   Longitude 60.748 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1000.45 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,5.9,196.7,89.83,3.98,5.31
2020,1,1,1,6.25,204.8,89.77,4.05,5.38
2020,1,1,2,6.2,211.4,89.72,4.17,5.57
2020,1,1,3,6.0,219.4,89.67,4.3,5.69
2020,1,1,4,4.89,237.4,89.67,4.44,5.05
2020,1,1,5,3.85,277.2,89.76,4.56,4.08
2020,1,1,6,4.53,309.4,89.88,4.59,3.43
2020,1,1,7,4.76,313.2,89.98,4.61,4.54
2020,1,1,8,3.98,294.0,90.04,4.6,7.41
2020,1,1,9,4.61,280.4,90.1,5.24,11.62
2020,1,1,10,4.67,286.7,90.07,5.26,15.05
2020,1,1,11,4.77,287.0,89.97,5.17,17.11
2020,1,1,12,4.72,279.9,89.85,5.0,18.25
2020,1,1,13,4.68,268.8,89.76,4.8,18.81
2020,1,1,14,4.79,259.2,89.72,4.64,18.79
2020,1,1,15,4.32,251.6,89.74,4.68,18.04
2020,1,1,16,2.83,236.1,89.79,5.89,15.27
2020,1,1,17,2.58,217.3,89.87,5.15,12.77
2020,1,1,18,2.79,203.6,89.96,5.11,11.31
2020,1,1,19,3.17,198.4,90.01,5.1,10.13
2020,1,1,20,3.66,201.0,90.05,5.12,9.11
2020,1,1,21,4.14,206.3,90.06,5.21,8.36
2020,1,1,22,4.58,211.4,90.04,5.4,7.96
2020,1,1,23,4.82,214.6,89.97,5.61,7.78
2020,1,2,0,4.81,217.2,89.91,5.8,7.66
2020,1,2,1,4.76,220.7,89.88,5.94,7.39
