-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  30.131   Longitude 61.49 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 518.58 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,3.85,203.9,95.21,3.91,8.83
2020,1,1,1,4.68,216.1,95.11,3.92,8.4
2020,1,1,2,5.59,223.8,95.04,3.95,8.03
2020,1,1,3,6.29,229.4,94.98,3.97,7.72
2020,1,1,4,6.71,232.3,94.96,4.0,7.34
2020,1,1,5,5.46,241.2,95.02,4.11,7.01
2020,1,1,6,3.75,273.1,95.15,4.27,6.84
2020,1,1,7,4.4,304.3,95.29,4.44,7.21
2020,1,1,8,5.11,315.3,95.41,4.54,9.58
2020,1,1,9,5.88,314.0,95.49,4.97,13.29
2020,1,1,10,6.12,322.9,95.5,5.01,16.42
2020,1,1,11,5.35,329.1,95.41,5.01,18.4
2020,1,1,12,4.24,332.9,95.29,5.07,19.81
2020,1,1,13,3.05,338.5,95.17,5.08,20.76
2020,1,1,14,2.16,349.3,95.1,5.08,21.14
2020,1,1,15,2.15,24.4,95.1,5.28,20.68
2020,1,1,16,3.51,54.5,95.12,5.64,17.15
2020,1,1,17,3.61,74.2,95.2,5.19,14.77
2020,1,1,18,3.56,100.7,95.28,5.06,13.8
2020,1,1,19,3.48,135.5,95.34,5.03,13.11
2020,1,1,20,3.84,171.8,95.38,5.17,12.29
2020,1,1,21,4.44,192.1,95.38,5.47,11.57
2020,1,1,22,4.79,202.2,95.36,5.77,11.25
2020,1,1,23,4.78,209.2,95.29,5.95,11.09
2020,1,2,0,4.74,213.8,95.25,6.06,10.8
2020,1,2,1,4.66,212.2,95.22,6.15,10.48
2020,1,2,2,4.31,206.6,95.22,6.25,10.41
2020,1,2,3,4.04,199.5,95.22,6.43,10.54
2020,1,2,4,3.97,192.1,95.27,6.67,10.75
2020,1,2,5,4.09,193.0,95.38,6.9,10.81
2020,1,2,6,4.21,205.9,95.49,7.11,10.61
2020,1,2,7,4.48,221.7,95.55,7.27,11.55
2020,1,2,8,4.54,243.6,95.61,7.42,15.68
2020,1,2,9,5.82,267.5,95.66,7.2,18.65
2020,1,2,10,6.05,283.6,95.62,6.7,20.87
2020,1,2,11,5.89,289.3,95.52,6.2,22.24
2020,1,2,12,5.84,286.1,95.42,5.87,23.07
2020,1,2,13,5.76,279.8,95.36,5.62,23.58
2020,1,2,14,5.62,278.2,95.36,5.46,23.65
2020,1,2,15,5.11,280.8,95.39,5.54,22.9
2020,1,2,16,4.15,288.4,95.46,5.99,19.36
2020,1,2,17,3.61,287.9,95.56,5.6,17.21
2020,1,2,18,3.44,278.0,95.66,5.54,16.2
2020,1,2,19,3.43,261.4,95.75,5.52,15.19
2020,1,2,20,3.76,241.7,95.78,5.53,13.97
2020,1,2,21,4.09,234.6,95.81,5.6,12.89
2020,1,2,22,4.03,234.9,95.81,5.72,12.28
2020,1,2,23,3.73,243.0,95.79,5.86,12.01
2020,1,3,0,3.33,254.8,95.78,5.98,11.9
2020,1,3,1,2.86,273.6,95.79,6.03,11.82
2020,1,3,2,2.69,298.7,95.8,5.98,11.37
2020,1,3,3,3.02,319.0,95.82,5.81,10.4
2020,1,3,4,3.41,333.9,95.85,5.66,9.24
2020,1,3,5,3.52,338.8,95.92,5.58,8.13
2020,1,3,6,3.37,335.4,96.01,5.54,7.2
2020,1,3,7,3.3,325.6,96.07,5.6,7.95
2020,1,3,8,3.32,308.5,96.11,5.75,10.0
2020,1,3,9,3.15,308.3,96.13,5.96,13.18
2020,1,3,10,3.28,332.4,96.07,6.04,16.14
