-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2024 in LST
Location: Latitude  31.03   Longitude 60.44 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 888.88 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
PS        MERRA-2 Surface Pressure (kPa) 
QV2M      MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M       MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,WS50M,WD50M,PS,QV2M,T2M
2020,1,1,0,4.64,183.5,91.03,3.93,4.79
2020,1,1,1,3.64,187.9,90.98,3.9,5.31
2020,1,1,2,2.42,181.7,90.94,3.94,5.58
2020,1,1,3,0.56,170.7,90.91,4.02,5.37
2020,1,1,4,3.16,10.2,90.95,4.12,4.47
2020,1,1,5,5.58,10.6,91.07,4.2,2.96
2020,1,1,6,5.59,4.0,91.18,4.22,2.51
2020,1,1,7,5.15,355.5,91.25,4.23,3.4
2020,1,1,8,4.05,346.4,91.29,4.2,6.12
2020,1,1,9,3.48,327.3,91.33,4.21,9.83
2020,1,1,10,3.54,316.7,91.31,4.31,13.0
2020,1,1,11,3.74,303.6,91.2,4.43,15.35
2020,1,1,12,3.75,286.7,91.05,4.52,17.21
2020,1,1,13,3.97,271.3,90.94,4.48,18.51
2020,1,1,14,4.3,261.3,90.88,4.35,19.0
2020,1,1,15,3.91,252.1,90.89,4.37,18.51
2020,1,1,16,2.41,225.8,90.93,5.14,15.8
2020,1,1,17,2.47,199.9,91.02,4.63,12.92
2020,1,1,18,2.82,192.7,91.12,4.59,11.22
2020,1,1,19,2.89,193.8,91.18,4.55,10.2
2020,1,1,20,2.8,199.2,91.23,4.51,9.56
2020,1,1,21,2.66,203.5,91.25,4.53,9.13
2020,1,1,22,2.68,204.3,91.24,4.59,8.85
2020,1,1,23,2.51,202.7,91.18,4.7,8.73
2020,1,2,0,1.81,194.0,91.13,4.79,8.71
2020,1,2,1,1.03,164.7,91.11,4.79,8.16
2020,1,2,2,0.59,118.3,91.12,4.71,7.38
2020,1,2,3,0.54,32.8,91.15,4.61,6.64
2020,1,2,4,1.08,347.1,91.21,4.54,6.08
2020,1,2,5,1.71,327.0,91.3,4.49,5.53
2020,1,2,6,2.24,315.2,91.39,4.53,5.1
2020,1,2,7,2.96,300.2,91.43,4.76,5.92
2020,1,2,8,3.72,283.7,91.48,5.17,9.27
2020,1,2,9,4.63,272.5,91.51,6.04,12.96
2020,1,2,10,5.04,270.9,91.47,5.87,16.23
2020,1,2,11,6.05,268.9,91.37,5.42,18.33
2020,1,2,12,6.98,266.6,91.26,4.99,19.36
2020,1,2,13,7.86,266.4,91.23,4.62,19.68
2020,1,2,14,8.35,268.1,91.24,4.27,19.48
2020,1,2,15,8.41,270.4,91.29,3.97,18.63
2020,1,2,16,8.0,270.7,91.36,4.27,15.22
2020,1,2,17,8.18,269.9,91.46,4.32,11.76
2020,1,2,18,8.4,270.9,91.55,4.27,11.49
2020,1,2,19,8.0,274.1,91.6,4.22,10.74
2020,1,2,20,7.09,281.6,91.62,4.13,9.29
2020,1,2,21,6.16,293.7,91.64,4.04,8.39
2020,1,2,22,5.57,308.5,91.65,3.97,7.73
2020,1,2,23,5.5,321.1,91.65,3.92,6.98
2020,1,3,0,5.5,330.0,91.65,3.93,6.23
2020,1,3,1,5.36,337.9,91.66,3.99,5.42
2020,1,3,2,5.18,344.1,91.68,4.11,4.63
2020,1,3,3,4.9,349.1,91.68,4.31,3.92
2020,1,3,4,4.44,350.7,91.69,4.58,3.34
2020,1,3,5,4.0,349.1,91.74,4.81,2.92
2020,1,3,6,3.71,346.8,91.8,5.0,2.58
